Game,Winner,Turns,AZPoints,RandomPoints
156,AZPolicy,24,15,12
157,AZPolicy,27,33,9
158,AZPolicy,23,19,6
159,RandomPolicy,27,17,21
160,AZPolicy,17,26,10
161,AZPolicy,21,18,7
162,AZPolicy,29,26,15
163,AZPolicy,25,28,8
164,RandomPolicy,29,17,22
165,RandomPolicy,31,20,26
166,AZPolicy,9,13,9
167,AZPolicy,21,21,20
168,RandomPolicy,18,6,11
169,AZPolicy,19,18,8
170,AZPolicy,36,26,13
171,RandomPolicy,21,11,14
172,AZPolicy,48,44,24
173,AZPolicy,23,14,13
174,AZPolicy,15,20,12
175,AZPolicy,19,21,16
176,AZPolicy,12,20,9
177,AZPolicy,55,27,21
178,RandomPolicy,12,10,11
179,AZPolicy,16,18,0
180,AZPolicy,15,22,15
181,AZPolicy,26,37,21
182,AZPolicy,22,16,9
183,AZPolicy,25,23,19
184,AZPolicy,32,32,14
185,RandomPolicy,13,5,15
186,RandomPolicy,44,32,47
187,AZPolicy,39,44,11
188,AZPolicy,17,15,8
189,AZPolicy,25,24,19
190,AZPolicy,28,13,6
191,AZPolicy,22,16,14
192,RandomPolicy,16,6,19
193,RandomPolicy,13,6,11
194,AZPolicy,25,33,0
195,AZPolicy,15,13,8
196,AZPolicy,5,6,1
197,AZPolicy,43,26,7
198,AZPolicy,24,31,15
199,AZPolicy,15,12,11
200,AZPolicy,36,31,14
201,AZPolicy,15,12,12
202,AZPolicy,24,19,10
203,AZPolicy,29,23,7
204,AZPolicy,9,7,6
205,AZPolicy,34,48,0
206,AZPolicy,20,23,0
207,RandomPolicy,9,8,11
208,AZPolicy,11,3,2
209,RandomPolicy,17,12,15
210,RandomPolicy,10,9,15
211,AZPolicy,26,38,0
212,RandomPolicy,15,7,10
213,AZPolicy,8,8,6
214,AZPolicy,20,25,5
215,RandomPolicy,23,9,16
216,AZPolicy,13,13,0
217,RandomPolicy,15,0,12
218,AZPolicy,20,21,17
219,AZPolicy,24,32,0
220,AZPolicy,36,31,0
221,AZPolicy,17,16,16
222,RandomPolicy,18,9,17
223,RandomPolicy,13,10,15
224,RandomPolicy,26,21,25
225,RandomPolicy,25,23,27
226,AZPolicy,16,16,6
227,RandomPolicy,14,10,13
228,AZPolicy,7,10,2
229,AZPolicy,39,27,16
230,AZPolicy,21,22,18
231,RandomPolicy,19,5,15
232,AZPolicy,38,29,10
233,AZPolicy,7,6,2
234,AZPolicy,40,46,20
235,AZPolicy,29,31,20
236,RandomPolicy,9,4,4
237,RandomPolicy,48,10,28
238,AZPolicy,22,20,8
239,RandomPolicy,8,2,8
240,AZPolicy,26,26,21
241,AZPolicy,21,13,4
242,AZPolicy,24,18,11
243,AZPolicy,14,13,13
244,AZPolicy,7,10,5
245,AZPolicy,31,13,13
246,RandomPolicy,92,9,33
247,AZPolicy,49,33,32
248,AZPolicy,40,51,5
249,AZPolicy,35,47,7
250,AZPolicy,66,26,18
251,AZPolicy,15,13,0
252,RandomPolicy,44,13,29
253,AZPolicy,33,34,23
254,AZPolicy,28,24,10
255,RandomPolicy,81,8,31
256,AZPolicy,31,26,15
257,RandomPolicy,21,10,13
258,RandomPolicy,38,22,36
259,AZPolicy,25,26,21
260,AZPolicy,46,47,18
261,AZPolicy,33,24,11
262,RandomPolicy,24,18,30
263,AZPolicy,43,32,18
264,AZPolicy,46,27,24
265,AZPolicy,36,48,0
266,AZPolicy,37,47,15
267,AZPolicy,23,15,15
268,RandomPolicy,12,7,15
269,RandomPolicy,31,18,26
270,RandomPolicy,30,20,20
271,AZPolicy,23,14,11
272,AZPolicy,18,18,17
273,AZPolicy,11,7,5
274,AZPolicy,30,32,8
275,AZPolicy,17,16,10
276,RandomPolicy,20,19,24
277,RandomPolicy,15,8,9
278,AZPolicy,18,20,18
279,RandomPolicy,31,15,25
280,RandomPolicy,16,8,10
281,RandomPolicy,67,21,23
282,AZPolicy,30,31,18
283,AZPolicy,21,16,11
284,RandomPolicy,12,10,10
285,AZPolicy,19,13,13
286,RandomPolicy,58,0,44
287,RandomPolicy,9,2,3
288,AZPolicy,22,22,5
289,AZPolicy,13,8,2
290,AZPolicy,10,8,7
291,AZPolicy,29,33,8
292,AZPolicy,23,28,19
293,RandomPolicy,38,11,35
294,AZPolicy,30,21,16
295,RandomPolicy,29,12,33
296,AZPolicy,34,39,20
297,RandomPolicy,23,16,26
298,RandomPolicy,30,12,37
299,AZPolicy,43,28,17
300,AZPolicy,36,33,12
301,AZPolicy,105,36,0
302,RandomPolicy,14,8,17
303,RandomPolicy,17,14,20
304,RandomPolicy,14,6,11
305,AZPolicy,33,39,9
306,AZPolicy,25,25,0
307,AZPolicy,42,27,24
308,AZPolicy,11,18,0
309,AZPolicy,35,37,18
310,AZPolicy,23,33,4
311,RandomPolicy,19,13,17
312,RandomPolicy,36,17,24
313,AZPolicy,17,17,14
314,RandomPolicy,12,5,16
315,RandomPolicy,25,5,36
316,RandomPolicy,34,7,18
317,AZPolicy,31,26,0
318,RandomPolicy,55,15,26
319,RandomPolicy,12,9,11
320,AZPolicy,66,24,0
321,AZPolicy,9,6,5
322,AZPolicy,44,22,13
323,AZPolicy,11,13,0
324,RandomPolicy,24,8,23
325,RandomPolicy,15,14,15
326,AZPolicy,28,33,10
327,AZPolicy,18,24,11
328,RandomPolicy,26,19,19
329,RandomPolicy,9,5,9
330,AZPolicy,22,22,0
331,RandomPolicy,23,13,27
332,AZPolicy,46,29,10
333,AZPolicy,27,27,19
334,AZPolicy,40,30,20
335,AZPolicy,59,21,18
336,RandomPolicy,32,3,36
337,RandomPolicy,23,12,16
338,RandomPolicy,52,14,35
339,AZPolicy,21,20,0
340,AZPolicy,21,24,23
341,AZPolicy,18,19,14
342,AZPolicy,16,15,10
343,RandomPolicy,50,18,31
344,RandomPolicy,45,5,34
345,RandomPolicy,15,8,11
346,RandomPolicy,68,26,40
347,AZPolicy,25,34,12
348,RandomPolicy,38,3,30
349,AZPolicy,12,12,0
350,RandomPolicy,10,8,13
351,AZPolicy,13,15,4
352,RandomPolicy,12,7,14
353,RandomPolicy,19,11,13
354,AZPolicy,49,57,0
355,AZPolicy,14,14,11
356,RandomPolicy,8,5,8
357,RandomPolicy,9,8,9
358,AZPolicy,36,28,22
359,AZPolicy,25,20,0
360,RandomPolicy,48,12,22
361,RandomPolicy,15,6,14
362,RandomPolicy,17,10,15
363,AZPolicy,17,12,6
364,RandomPolicy,11,2,12
365,AZPolicy,30,29,2
366,RandomPolicy,11,9,10
367,AZPolicy,41,38,13
368,RandomPolicy,32,23,29
369,AZPolicy,27,19,9
370,AZPolicy,28,18,16
371,RandomPolicy,37,6,30
372,AZPolicy,18,19,12
373,RandomPolicy,31,5,32
374,AZPolicy,34,13,12
375,AZPolicy,15,13,10
376,AZPolicy,13,11,3
377,AZPolicy,29,28,27
378,AZPolicy,51,35,29
379,AZPolicy,23,24,18
380,RandomPolicy,34,14,20
381,AZPolicy,53,20,14
382,RandomPolicy,45,16,34
383,AZPolicy,21,23,4
384,AZPolicy,15,17,10
385,AZPolicy,37,21,18
386,AZPolicy,5,6,1
387,RandomPolicy,47,21,28
388,RandomPolicy,14,11,16
389,AZPolicy,9,6,5
390,RandomPolicy,24,16,27
391,RandomPolicy,27,13,18
392,RandomPolicy,12,5,13
393,RandomPolicy,31,12,20
394,AZPolicy,12,11,10
395,AZPolicy,45,27,25
396,AZPolicy,35,38,0
397,AZPolicy,11,8,0
398,AZPolicy,16,16,6
399,RandomPolicy,14,16,17
400,RandomPolicy,22,14,23
401,AZPolicy,24,29,10
402,AZPolicy,18,17,0
403,AZPolicy,30,43,0
404,RandomPolicy,18,10,22
405,AZPolicy,33,33,20
406,AZPolicy,8,7,5
407,RandomPolicy,48,24,30
408,RandomPolicy,64,7,47
409,AZPolicy,35,20,12
410,AZPolicy,14,17,5
411,AZPolicy,10,6,4
412,AZPolicy,25,30,0
413,AZPolicy,65,30,29
414,RandomPolicy,28,30,31
415,AZPolicy,11,9,4
416,RandomPolicy,36,23,39
417,AZPolicy,22,29,0
418,AZPolicy,34,20,16
419,RandomPolicy,23,22,23
420,AZPolicy,24,22,8
421,RandomPolicy,37,24,27
422,RandomPolicy,18,10,16
423,RandomPolicy,33,18,33
424,AZPolicy,26,31,0
425,RandomPolicy,25,6,14
426,AZPolicy,22,28,21
427,RandomPolicy,19,4,5
428,AZPolicy,9,9,2
429,RandomPolicy,17,6,16
430,RandomPolicy,36,11,34
431,AZPolicy,22,35,7
432,AZPolicy,22,24,10
433,AZPolicy,29,29,3
434,RandomPolicy,33,4,28
435,AZPolicy,33,23,22
436,RandomPolicy,12,12,12
437,RandomPolicy,23,12,22
438,RandomPolicy,22,16,16
439,AZPolicy,10,5,0
440,AZPolicy,20,14,5
441,RandomPolicy,60,19,42
442,AZPolicy,26,26,15
443,AZPolicy,15,9,8
444,AZPolicy,12,7,5
445,RandomPolicy,7,6,8
446,AZPolicy,33,43,9
447,RandomPolicy,19,12,16
448,AZPolicy,32,20,16
449,AZPolicy,27,27,24
450,RandomPolicy,12,8,12
451,AZPolicy,43,56,9
452,RandomPolicy,14,14,16
453,AZPolicy,25,30,13
454,RandomPolicy,9,6,7
455,AZPolicy,39,30,26
456,AZPolicy,66,63,16
457,AZPolicy,16,16,13
458,RandomPolicy,66,22,32
459,RandomPolicy,14,6,17
460,AZPolicy,16,14,8
461,RandomPolicy,55,2,35
462,RandomPolicy,24,7,14
463,RandomPolicy,99,2,26
464,AZPolicy,14,11,9
465,AZPolicy,51,45,22
466,AZPolicy,17,22,5
467,AZPolicy,13,14,8
468,AZPolicy,22,24,0
469,AZPolicy,19,18,10
470,AZPolicy,20,17,16
471,AZPolicy,18,17,16
472,AZPolicy,14,19,12
473,RandomPolicy,28,18,28
474,AZPolicy,33,45,8
475,AZPolicy,63,31,30
476,RandomPolicy,14,9,10
477,AZPolicy,21,16,11
478,AZPolicy,25,30,6
479,RandomPolicy,29,19,24
480,AZPolicy,22,24,15
481,AZPolicy,31,22,19
482,RandomPolicy,22,13,22
483,RandomPolicy,19,14,18
484,AZPolicy,18,16,13
485,RandomPolicy,21,10,18
486,AZPolicy,22,13,5
487,RandomPolicy,11,4,9
488,AZPolicy,23,24,15
489,AZPolicy,33,29,5
490,AZPolicy,56,41,6
491,RandomPolicy,47,14,35
492,RandomPolicy,14,6,17
493,AZPolicy,43,30,14
494,RandomPolicy,14,7,17
495,RandomPolicy,23,21,22
496,AZPolicy,29,35,0
497,AZPolicy,16,15,5
498,RandomPolicy,52,24,26
499,RandomPolicy,17,12,21
